n,matrix,list(binary),list(fibo)
3,1.0013580322265625e-05
13,3.409385681152344e-05
23,7.82012939453125e-05
33,0.00017905235290527344
43,0.00028896331787109375
53,0.0005078315734863281
63,0.0008761882781982422
73,0.0011370182037353516
83,0.0013072490692138672
93,0.001809835433959961
103,0.0019838809967041016
113,0.003147125244140625
123,0.0035309791564941406
133,0.004380941390991211
143,0.004953145980834961
153,0.005751132965087891
163,0.0063228607177734375
173,0.0064160823822021484
183,0.006685972213745117
193,0.008386611938476562
203,0.009567975997924805
213,0.008959054946899414
223,0.011801004409790039
233,0.014232635498046875
243,0.014323949813842773
253,0.015362739562988281
263,0.016664981842041016
273,0.01689291000366211
283,0.01976490020751953
293,0.022097110748291016
303,0.022719860076904297
313,0.02752089500427246
323,0.024016857147216797
333,0.0252988338470459
343,0.024571895599365234
353,0.035224199295043945
363,0.033521175384521484
373,0.03386330604553223
383,0.03720498085021973
393,0.04038190841674805
403,0.04031205177307129
413,0.0419919490814209
423,0.04350996017456055
433,0.04893088340759277
443,0.0466611385345459
453,0.05231618881225586
463,0.05825471878051758
473,0.054882049560546875
483,0.05844235420227051
493,0.06299281120300293
