n,matrix,list(binary)
3,1.1920928955078125e-05,7.867813110351562e-06
43,0.0004379749298095703,0.0001900196075439453
83,0.0015549659729003906,0.0008130073547363281
123,0.003612041473388672,0.0015888214111328125
163,0.005815029144287109,0.0024127960205078125
203,0.009504079818725586,0.003782033920288086
243,0.013657093048095703,0.005918979644775391
283,0.01788496971130371,0.007093906402587891
323,0.025370121002197266,0.008574962615966797
363,0.03050398826599121,0.012421846389770508
403,0.03762984275817871,0.016299009323120117
443,0.0468449592590332,0.018358945846557617
483,0.05675315856933594,0.020633935928344727
523,0.06628203392028809,0.02465200424194336
563,0.07442378997802734,0.02929830551147461
603,0.08831787109375,0.027728796005249023
643,0.10018515586853027,0.03196406364440918
683,0.12005996704101562,0.038665056228637695
723,0.13294506072998047,0.04162001609802246
763,0.14675211906433105,0.044824838638305664
803,0.15949296951293945,0.062271833419799805
843,0.17902803421020508,0.060109615325927734
883,0.19686079025268555,0.06378412246704102
923,0.21450591087341309,0.06459403038024902
963,0.22777009010314941,0.0722808837890625
