n,matrix,list(binary)
3,1.1682510375976562e-05,1.0251998901367188e-05
13,5.984306335449219e-05,3.409385681152344e-05
23,0.0001461505889892578,7.700920104980469e-05
33,0.0002868175506591797,0.00018262863159179688
43,0.00045800209045410156,0.0002961158752441406
53,0.0007278919219970703,0.0005691051483154297
63,0.0010139942169189453,0.000759124755859375
73,0.001361846923828125,0.0011420249938964844
83,0.0017850399017333984,0.001767873764038086
93,0.002110004425048828,0.0016739368438720703
103,0.0025572776794433594,0.0017228126525878906
113,0.0029840469360351562,0.0025300979614257812
123,0.0035300254821777344,0.003171205520629883
133,0.003983020782470703,0.003139019012451172
143,0.0046269893646240234,0.0037069320678710938
153,0.005295991897583008,0.004175901412963867
163,0.006108999252319336,0.0054912567138671875
173,0.0068511962890625,0.006582975387573242
183,0.007598876953125,0.007322072982788086
193,0.008477926254272461,0.00658106803894043
203,0.00952291488647461,0.008527994155883789
213,0.01023101806640625,0.009433984756469727
223,0.011172294616699219,0.010004043579101562
233,0.01244497299194336,0.011773824691772461
243,0.01302480697631836,0.010465145111083984
253,0.014326095581054688,0.012039899826049805
263,0.015633821487426758,0.013756990432739258
273,0.016873836517333984,0.013135910034179688
283,0.01825404167175293,0.015446186065673828
293,0.019669055938720703,0.018395185470581055
303,0.021571874618530273,0.01910996437072754
313,0.02347087860107422,0.021720170974731445
323,0.024386167526245117,0.020325183868408203
333,0.025883913040161133,0.021804094314575195
343,0.027121305465698242,0.02667975425720215
353,0.029512882232666016,0.02705097198486328
363,0.031310081481933594,0.027563095092773438
373,0.032549142837524414,0.029903888702392578
383,0.035488128662109375,0.027655839920043945
393,0.03732490539550781,0.03147006034851074
403,0.03951406478881836,0.03287911415100098
413,0.040103912353515625,0.03759312629699707
423,0.04303598403930664,0.03729820251464844
433,0.045310020446777344,0.04266071319580078
443,0.04712414741516113,0.03993797302246094
453,0.04834699630737305,0.042281150817871094
463,0.05162191390991211,0.04557013511657715
473,0.052835941314697266,0.04732012748718262
483,0.05582594871520996,0.055110931396484375
493,0.05878615379333496,0.05082392692565918
