n,Merge Sort, Hybrid Sort
1000,8736,9641
11000,133996,144026
21000,275446,309478
31000,423551,446884
41000,577259,642773
51000,733958,751555
61000,892929,935849
71000,1055405,1134930
81000,1220503,1344409
91000,1385854,1397749
101000,1553394,1584470
