s, numComparisons, ,s,min
353,162732, ,,
354,163595, ,,
355,162662, ,,
356,162165, ,,
357,160520, ,,
358,163309, ,,
359,162172, ,,
360,158790, ,,
361,159373, ,,
362,158423, ,,
363,158113, ,,
364,160861, ,,
365,159985, ,,
366,158312, ,,
367,164510, ,,
368,161524, ,,
369,163798, ,,
370,157938, ,,
371,160143, ,,
372,160075, ,,
373,160799, ,,
374,160275, ,,
375,159038, ,,
376,157778, ,,
377,162485, ,,
378,163536, ,,
379,158910, ,,
380,160133, ,,
381,162321, ,,
382,160498, ,,
383,159720, ,,
384,159990, ,,
385,159204, ,,
386,157774, ,,
387,158146, ,,
388,158021, ,,
389,162239, ,,
390,161386, ,,
391,163471, ,,
392,157563, ,,
393,157440, ,,
394,158903, ,,
395,161878, ,,
396,160335, ,,
397,160234, ,,
398,159648, ,,
399,162534, ,,
400,156468, ,,
401,161182, ,,
402,161616, ,,
403,165130, ,,
404,158334, ,,
405,157873, ,,
406,160321, ,,
407,163903, ,,
408,158240, ,,
409,159308, ,,
410,160904, ,,
411,157257, ,,
412,156662, ,,
413,163639, ,,
414,157047, ,,
415,160977, ,,
416,159548, ,,
417,159640, ,,
418,162949, ,,
419,158413, ,,
420,161378, ,,
421,159467, ,,
422,158113, ,,
423,161634, ,,
424,160542, ,,
425,163032, ,,
426,159655, ,,
427,160720, ,,
428,162164, ,,
429,161218, ,,
430,158332, ,,
431,160741, ,,
432,160456, ,,
433,159062, ,,
434,161229, ,,
435,160228, ,,
436,161434, ,,
437,158404, ,,
438,160088, ,,
439,157834, ,,
440,156723, ,,
441,162597, ,,
442,162871, ,,
443,162385, ,,
444,157207, ,,
445,160322, ,,
446,164377, ,,
447,160061, ,,
448,161065, ,,
449,158416, ,,
450,161359, ,,
451,158101, ,,
452,162942, ,,
453,162258, ,,
454,160401, ,,
455,159557, ,,
456,159503, ,,
457,159902, ,,
458,159582, ,,
459,161574, ,,
460,161406, ,,
461,162791, ,,
462,163073, ,,
463,158872, ,,
464,161424, ,,
465,157849, ,,
466,161077, ,,
467,160884, ,,
468,159496, ,,
469,163513, ,,
470,160968, ,,
471,160686, ,,
472,161007, ,,
473,162082, ,,
474,157629, ,,
475,164276, ,,
476,157567, ,,
477,159538, ,,
478,161450, ,,
479,159780, ,,
480,159260, ,,
481,161919, ,,
482,159964, ,,
483,163943, ,,
484,158810, ,,
485,159534, ,,
486,162288, ,,
487,160187, ,,
488,159970, ,,
489,159580, ,,
490,160955, ,,
491,160253, ,,
492,158278, ,,
493,162283, ,,
494,162819, ,,
495,157950, ,,
496,159172, ,,
497,161124, ,,
498,160943, ,,
499,160504, ,,
500,160581, ,,
501,156295, ,,
502,161404, ,,
503,160280, ,,
504,162137, ,,
505,163661, ,,
506,163110, ,,
507,160410, ,,
508,158844, ,,
509,158239, ,,
510,162086, ,,
511,159100, ,,
512,155883, ,,
513,157189, ,,
514,157679, ,,
515,161446, ,,
516,160567, ,,
517,157005, ,,
518,157199, ,,
519,159267, ,,
520,167565, ,,
521,157596, ,,
522,165060, ,,
523,163012, ,,
524,163318, ,,
525,161187, ,,
526,161493, ,,
527,155992, ,,
528,158128, ,,
529,160219, ,,
530,159140, ,,
531,160339, ,,
532,159979, ,,
