n,Merge Sort, Hybrid Sort
100000,1536419,1566170
200000,3272681,3329616
300000,5084337,5467604
400000,6945159,7057664
500000,8836627,9221371
600000,10767785,11535675
700000,12723666,13521632
800000,14691485,14918380
900000,16677713,17145831
1000000,18673729,19446129
1100000,20694409,21816693
