s, numComparisons, 
455,18531, 
456,18530, 
457,19266, 
458,18057, 
459,19606, 
460,18364, 
461,17540, 
462,19246, 
463,20655, 
464,19127, 
465,17839, 
466,18531, 
467,16540, 
468,18699, 
469,17302, 
470,19141, 
471,17606, 
472,16738, 
473,17907, 
474,17695, 
475,16976, 
476,18068, 
477,18920, 
478,18188, 
479,17945, 
480,17209, 
481,16875, 
482,17222, 
483,19426, 
484,18506, 
485,17485, 
486,20750, 
487,17281, 
488,19581, 
489,19537, 
490,17873, 
491,16253, 
492,17666, 
493,19147, 
494,18698, 
495,17253, 
496,16459, 
497,19476, 
498,17796, 
499,17268, 
500,63043, 
