n,Merge Sort, Hybrid Sort
1000,8745,8509
11000,133960,130042
21000,275389,268332
31000,423521,415005
41000,577083,563338
51000,734038,715355
61000,893394,876041
71000,1055236,1035272
81000,1220006,1193610
91000,1386059,1352743
101000,1553000,1515059
