s, numComparisons, ,,,
318,75641, ,,,
319,71531, ,,,
320,74075, ,,,
321,78470, ,,,
322,73989, ,,,
323,72592, ,,,
324,71701, ,,,
325,75933, ,,,
326,72741, ,,,
327,75255, ,,,
328,73130, ,,,
329,73047, ,,,
330,73512, ,,,
331,74105, ,,,
332,77760, ,,,
333,71761, ,,,
334,73290, ,,,
335,76294, ,,,
336,74138, ,,,
337,75756, ,,,
338,74465, ,,,
339,73272, ,,,
340,75483, ,,,
341,75234, ,,,
342,72600, ,,,
343,75268, ,,,
344,75944, ,,,
345,76547, ,,,
346,75907, ,,,
347,72292, ,,,
348,73014, ,,,
349,73827, ,,,
350,73648, ,,,
351,70973, ,,,
352,75717, ,,,
353,74680, ,,,
354,76551, ,,,
355,76122, ,,,
356,76037, ,,,
357,73364, ,,,
358,73722, ,,,
359,76705, ,,,
360,73119, ,,,
361,75735, ,,,
362,75320, ,,,
363,75309, ,,,
364,75640, ,,,
365,73763, ,,,
366,72176, ,,,
367,71779, ,,,
368,73384, ,,,
369,76061, ,,,
370,73143, ,,,
371,75430, ,,,
372,77728, ,,,
373,76155, ,,,
374,74857, ,,,
375,75658, ,,,
376,75704, ,,,
377,73444, ,,,
378,75243, ,,,
379,79557, ,,,
380,70801, ,,,
381,78222, ,,,
382,76843, ,,,
383,76240, ,,,
384,73668, ,,,
385,71833, ,,,
386,73784, ,,,
387,75604, ,,,
388,79168, ,,,
389,73066, ,,,
390,74804, ,,,
391,73185, ,,,
392,73102, ,,,
393,74631, ,,,
394,76673, ,,,
395,74849, ,,,
396,73894, ,,,
397,79169, ,,,
398,74728, ,,,
399,77352, ,,,
400,74809, ,,,
401,74953, ,,,
402,73520, ,,,
403,75827, ,,,
404,75310, ,,,
405,73744, ,,,
406,74418, ,,,
407,78696, ,,,
408,74086, ,,,
409,75252, ,,,
410,73631, ,,,
411,76351, ,,,
412,74280, ,,,
413,72537, ,,,
414,75481, ,,,
415,73162, ,,,
416,77863, ,,,
417,77676, ,,,
418,71923, ,,,
419,74454, ,,,
420,75235, ,,,
421,71664, ,,,
422,75412, ,,,
423,72725, ,,,
424,75744, ,,,
425,72061, ,,,
426,70843, ,,,
427,75980, ,,,
428,77688, ,,,
429,71838, ,,,
430,72992, ,,,
431,77205, ,,,
432,76135, ,,,
433,77020, ,,,
434,76322, ,,,
435,75133, ,,,
436,74910, ,,,
437,72335, ,,,
438,75856, ,,,
439,72926, ,,,
440,76929, ,,,
441,73429, ,,,
442,77297, ,,,
443,77096, ,,,
444,71572, ,,,
445,72210, ,,,
446,75413, ,,,
447,74128, ,,,
448,71822, ,,,
449,79878, ,,,
450,71092, ,,,
451,75825, ,,,
452,75951, ,,,
453,73400, ,,,
454,73758, ,,,
455,75961, ,,,
456,77562, ,,,
457,74884, ,,,
458,79336, ,,,
459,74299, ,,,
460,75539, ,,,
461,77771, ,,,
462,73634, ,,,
463,75742, ,,,
464,70366, ,,,
465,72404, ,,,
466,75237, ,,,
467,75377, ,,,
468,72707, ,,,
469,73746, ,,,
470,72062, ,,,
471,75579, ,,,
472,77351, ,,,
473,74041, ,,,
474,72185, ,,,
475,75880, ,,,
476,74661, ,,,
477,74480, ,,,
478,74660, ,,,
479,70157, ,,,
480,73136, ,,,
481,71943, ,,,
482,75132, ,,,
483,76246, ,,,
484,73738, ,,,
485,73252, ,,,
486,72479, ,,,
487,75521, ,,,
488,77318, ,,,
489,73531, ,,,
490,77672, ,,,
491,74806, ,,,
492,77258, ,,,
493,76770, ,,,
494,72079, ,,,
495,71562, ,,,
496,74838, ,,,
497,72681, ,,,
498,76592, ,,,
499,78318, ,,,
500,78547, ,,,
