s, numComparisons, 
0,707232, 
1,707628, 
2,683674, 
3,651921, 
4,649307, 
5,649232, 
6,611952, 
7,606311, 
8,606061, 
9,606386, 
10,606369, 
11,606518, 
12,570266, 
13,559695, 
14,560716, 
15,560800, 
16,559442, 
17,560285, 
18,561186, 
19,560496, 
20,560550, 
21,560792, 
22,559741, 
23,559708, 
24,532810, 
25,511407, 
26,512397, 
27,511918, 
28,512352, 
29,512293, 
30,512669, 
31,510897, 
32,512235, 
33,512165, 
34,512606, 
35,512210, 
36,511670, 
37,510949, 
38,511423, 
39,513431, 
40,511783, 
41,511813, 
42,511371, 
43,511938, 
44,512590, 
45,512704, 
46,511955, 
47,511842, 
48,504688, 
49,464365, 
50,464969, 
51,462768, 
52,463152, 
53,464211, 
54,464802, 
55,465576, 
56,465388, 
57,462914, 
58,465149, 
59,464981, 
60,464776, 
61,463764, 
62,463911, 
63,465006, 
64,464927, 
65,463675, 
66,464560, 
67,463016, 
68,464072, 
69,463885, 
70,463707, 
71,464279, 
72,464144, 
73,462848, 
74,463434, 
75,464304, 
76,464326, 
77,463910, 
78,461984, 
79,464436, 
80,464899, 
81,463964, 
82,466055, 
83,464386, 
84,462744, 
85,463244, 
86,463590, 
87,463855, 
88,466335, 
89,464667, 
90,463537, 
91,464521, 
92,464173, 
93,463734, 
94,463420, 
95,463465, 
96,463997, 
97,448054, 
98,417774, 
99,418225, 
100,419269, 
101,418281, 
102,416566, 
103,417260, 
104,418105, 
105,417944, 
106,417874, 
107,416054, 
108,418582, 
109,416115, 
110,418152, 
111,418622, 
112,418970, 
113,416266, 
114,417046, 
115,418595, 
116,416691, 
117,417526, 
118,418572, 
119,419192, 
120,417772, 
121,418788, 
122,417987, 
123,414654, 
124,419193, 
125,417804, 
126,418485, 
127,414691, 
128,419561, 
129,417847, 
130,417926, 
131,419456, 
132,417883, 
133,418035, 
134,418220, 
135,418185, 
136,416342, 
137,416639, 
138,417312, 
139,417765, 
140,418348, 
141,419782, 
142,417492, 
143,419239, 
144,415048, 
145,418710, 
146,418331, 
147,419419, 
148,418148, 
149,417118, 
150,417341, 
151,418314, 
152,418401, 
153,419156, 
154,414711, 
155,417966, 
156,415659, 
157,418630, 
158,414270, 
159,416438, 
160,418801, 
161,417090, 
162,416749, 
163,416887, 
164,418755, 
165,417573, 
166,416911, 
167,416583, 
168,417875, 
169,416025, 
170,415962, 
171,421280, 
172,417811, 
173,417696, 
174,415779, 
175,416650, 
176,415197, 
177,416131, 
178,418236, 
179,419462, 
180,418787, 
181,416837, 
182,417418, 
183,419672, 
184,417090, 
185,418761, 
186,416602, 
187,416215, 
188,419348, 
189,417411, 
190,418347, 
191,418146, 
192,417433, 
193,416665, 
194,417746, 
195,394007, 
196,377212, 
197,377914, 
198,379896, 
199,377043, 
200,378768, 
201,379387, 
202,381218, 
203,380374, 
204,374329, 
205,378699, 
206,376870, 
207,377643, 
208,380035, 
209,381470, 
210,380111, 
211,379976, 
212,379365, 
213,380038, 
214,377797, 
215,380959, 
216,377750, 
217,378535, 
218,377834, 
219,376499, 
220,384296, 
221,383912, 
222,380824, 
223,375632, 
224,379919, 
225,382939, 
226,375973, 
227,379074, 
228,378257, 
229,377294, 
230,378472, 
231,379690, 
232,379191, 
233,374075, 
234,379346, 
235,378431, 
236,379682, 
237,377966, 
238,377535, 
239,375122, 
240,378394, 
241,374608, 
242,377031, 
243,377118, 
244,376105, 
245,383586, 
246,376713, 
247,376698, 
248,374056, 
249,378733, 
250,379788, 
251,382240, 
252,381095, 
253,379240, 
254,379078, 
255,378597, 
256,379204, 
257,378761, 
258,378947, 
259,379002, 
260,381672, 
261,375929, 
262,379792, 
263,377355, 
264,378806, 
265,382796, 
266,379217, 
267,378965, 
268,374651, 
269,378465, 
270,376002, 
271,376944, 
272,378688, 
273,381285, 
274,379250, 
275,379376, 
276,377135, 
277,379092, 
278,377900, 
279,379284, 
280,377356, 
281,378126, 
282,381314, 
283,376386, 
284,382603, 
285,379896, 
286,376782, 
287,381777, 
288,377774, 
289,383586, 
290,382736, 
291,379524, 
292,380809, 
293,378475, 
294,376786, 
295,377752, 
296,374492, 
297,378060, 
298,377862, 
299,374173, 
300,378188, 
301,381636, 
302,378529, 
303,376747, 
304,376203, 
305,374992, 
306,381496, 
307,379762, 
308,379165, 
309,379649, 
310,381286, 
311,380672, 
312,379300, 
313,378072, 
314,376513, 
315,380922, 
316,378915, 
317,376365, 
318,381999, 
319,381010, 
320,378929, 
321,379850, 
322,376011, 
323,381338, 
324,383137, 
325,377775, 
326,379544, 
327,378109, 
328,380902, 
329,381901, 
330,375818, 
331,377346, 
332,381157, 
333,376368, 
334,377634, 
335,376847, 
336,377646, 
337,378884, 
338,376384, 
339,380964, 
340,378550, 
341,377222, 
342,381072, 
343,376840, 
344,375897, 
345,378981, 
346,379796, 
347,381605, 
348,377619, 
349,378343, 
350,376445, 
351,380145, 
352,380106, 
353,379482, 
354,381666, 
355,376768, 
356,380572, 
357,380500, 
358,379942, 
359,379110, 
360,376868, 
361,379580, 
362,379404, 
363,378841, 
364,381076, 
365,380904, 
366,378753, 
367,374793, 
368,377063, 
369,378379, 
370,377759, 
371,378612, 
372,376181, 
373,375707, 
374,375895, 
375,381301, 
376,381958, 
377,379226, 
378,380918, 
379,373904, 
380,381351, 
381,378685, 
382,375228, 
383,381978, 
384,375133, 
385,379427, 
386,376030, 
387,376739, 
388,379388, 
389,379436, 
390,392998, 
391,371654, 
392,365814, 
393,371050, 
394,370525, 
395,370856, 
396,362487, 
397,366507, 
398,371809, 
399,368697, 
400,366632, 
401,363158, 
402,366099, 
403,372448, 
404,371875, 
405,362568, 
406,366495, 
407,370280, 
408,370557, 
409,366466, 
410,368709, 
411,371983, 
412,361169, 
413,370159, 
414,365274, 
415,365664, 
416,368946, 
417,368481, 
418,369172, 
419,369540, 
420,371452, 
421,362485, 
422,367109, 
423,369187, 
424,364142, 
425,359209, 
426,369296, 
427,366213, 
428,370316, 
429,370876, 
430,368267, 
431,367958, 
432,372840, 
433,372684, 
434,364435, 
435,367180, 
436,363909, 
437,361497, 
438,375737, 
439,367136, 
440,370082, 
441,368188, 
442,369551, 
443,364901, 
444,366758, 
445,368039, 
446,367875, 
447,365359, 
448,363838, 
449,371768, 
450,373816, 
451,370494, 
452,361539, 
453,370782, 
454,370294, 
455,367738, 
456,374087, 
457,374237, 
458,365796, 
459,361531, 
460,372591, 
461,367855, 
462,369496, 
463,372528, 
464,374053, 
465,365560, 
466,366941, 
467,364468, 
468,366791, 
469,368671, 
470,371319, 
471,368282, 
472,366715, 
473,368977, 
474,363505, 
475,366775, 
476,374635, 
477,366441, 
478,368502, 
479,365129, 
480,366429, 
481,369908, 
482,373882, 
483,368019, 
484,372380, 
485,367965, 
486,362672, 
487,367441, 
488,369558, 
489,364969, 
490,369323, 
491,369734, 
492,372624, 
493,374110, 
494,366624, 
495,364720, 
496,366302, 
497,369362, 
498,369413, 
499,366376, 
500,367630, 
