n, Insertion Sort, Merge Sort, Hybrid Sort
317,24500,2228,2746
318,24433,2261,2361
319,25397,2264,2737
320,24711,2266,2674
321,25529,2261,2611
322,25980,2293,2443
323,26545,2294,2442
324,26816,2294,2679
325,26060,2309,2648
326,27119,2318,2547
327,24876,2302,2297
328,26962,2333,2584
329,28165,2344,2922
330,26095,2346,2822
331,27349,2355,2566
332,29555,2358,3079
333,26570,2376,2827
334,26321,2383,2851
335,26664,2385,2795
336,28237,2392,2868
337,26990,2412,2667
338,27875,2428,2730
339,27952,2429,2574
340,29015,2415,2530
341,28038,2448,2772
342,28695,2452,2328
343,30122,2458,2746
344,29059,2474,2475
345,28592,2493,2966
346,28415,2489,2724
347,31408,2497,2605
348,30398,2500,3679
349,29972,2516,2523
350,30907,2522,2774
351,30013,2501,2773
352,29082,2546,3390
353,28654,2563,3212
354,30079,2576,3311
355,31649,2593,3329
356,29292,2571,2939
357,32330,2586,2869
358,33221,2597,3355
359,33026,2596,3593
360,32519,2609,3613
361,33813,2614,3836
362,31553,2630,2779
363,32824,2634,3290
364,34710,2662,3051
365,31504,2658,3351
366,32231,2653,3542
367,34106,2657,3545
368,35118,2655,3354
369,34377,2705,2906
370,35895,2689,3522
371,35676,2715,3700
372,36274,2724,3348
373,33150,2718,3273
374,34261,2730,3389
375,34914,2742,3067
376,32727,2743,3082
377,36947,2762,3521
378,37099,2784,3401
379,34642,2782,3158
380,36938,2778,3963
381,36169,2779,3809
382,34494,2807,3305
383,39612,2815,4142
384,39359,2814,3404
385,36661,2824,3699
386,36286,2814,3226
387,36885,2854,4007
388,36141,2852,3676
389,36565,2880,3544
390,37498,2865,3741
391,38275,2875,3529
392,38042,2873,3343
393,38559,2907,3772
394,38481,2902,3354
395,39179,2904,3957
396,40977,2913,4420
397,41071,2915,4693
398,40577,2938,3859
399,39600,2968,3444
400,41201,2932,3257
401,41101,2980,3983
402,40303,2988,3838
403,39087,2992,3214
404,41863,3005,2038
405,41244,2998,2087
406,40612,3010,2234
407,41000,3021,2157
408,42912,3016,2263
409,42888,3047,2356
410,41466,3050,2450
411,44324,3058,2239
412,42465,3083,2302
413,42705,3083,2429
414,41672,3079,2306
415,44183,3092,2352
416,42945,3103,2052
417,44731,3113,2266
418,43963,3149,2095
419,43046,3144,2186
420,45728,3147,2290
421,46072,3152,2137
422,45208,3125,2149
423,46433,3144,2117
424,44843,3164,2285
425,43521,3202,2427
426,42874,3192,2401
427,46313,3207,2372
428,44634,3197,2377
429,46746,3244,2545
430,45577,3210,2155
431,46319,3203,2441
432,47970,3264,2486
433,46745,3255,2623
434,46562,3279,2166
435,45682,3258,2423
436,48206,3294,2733
437,47676,3284,2207
438,47361,3297,2461
439,50052,3301,2509
440,44080,3325,2468
441,51738,3326,2580
442,46341,3345,2703
443,49350,3327,2495
444,48577,3364,2456
445,49340,3365,2620
446,49386,3374,2496
447,52872,3368,2371
448,49912,3398,2517
449,48264,3376,2440
450,52158,3398,2371
451,48327,3420,2395
452,48341,3417,2584
453,53220,3438,2593
454,51058,3443,2145
455,51756,3446,2485
456,53304,3455,2470
457,55332,3455,2466
458,53183,3471,2699
459,51934,3473,2366
460,52540,3497,2344
461,48510,3515,2453
462,54572,3511,2696
463,54225,3524,2497
464,56149,3531,2745
465,54248,3558,2571
466,53883,3558,2768
467,55692,3547,2501
468,57558,3568,2659
469,52608,3588,2894
470,54988,3585,2442
471,54497,3603,2600
472,55327,3606,2579
473,57521,3622,2461
474,56596,3625,2383
475,58161,3629,3042
476,52608,3608,2987
477,59688,3663,2769
478,55870,3638,2588
479,57610,3657,2657
480,56848,3681,2404
481,56232,3672,2886
482,56799,3664,2730
483,60113,3705,2700
484,60284,3695,2644
485,59158,3736,2668
486,61216,3710,2863
487,60175,3753,2888
488,61551,3739,2934
489,61186,3764,2984
490,60600,3772,2949
491,59872,3738,2706
492,59338,3794,2988
493,59603,3783,2980
494,58206,3798,3339
495,62791,3798,3091
496,58022,3817,2667
497,63038,3842,2980
498,60763,3839,2669
499,60975,3835,3161
500,62705,3872,2968
501,60724,3872,2757
502,61362,3865,2570
503,64513,3871,3137
504,62700,3910,2735
505,65493,3903,2895
506,60958,3909,2950
507,65636,3926,2772
508,65775,3913,2992
509,63227,3945,2739
510,65928,3944,3049
511,64393,3957,3000
512,66243,3959,3000
513,62929,3947,2822
514,65926,3989,3022
515,63828,4008,2672
516,65988,3978,3225
517,65110,3999,2878
518,66527,4025,2869
519,69415,4012,3287
520,66599,4042,3275
521,64887,4046,3356
522,65147,4086,3024
523,68526,4071,3129
524,66784,4076,3166
525,67764,4080,3322
526,70202,4102,3026
527,68362,4115,3033
528,72814,4110,3184
529,72111,4102,3678
530,69763,4155,3254
531,72875,4147,3209
532,70167,4157,3163
533,71353,4171,3109
534,71828,4200,2976
535,73006,4202,3505
536,69325,4174,3103
537,70691,4225,3212
538,72582,4208,3218
539,73187,4217,3179
540,71011,4242,2952
541,74094,4260,3354
542,73173,4251,3078
543,77994,4252,3058
544,75739,4264,3335
545,72339,4261,3174
546,72812,4300,3200
547,76734,4297,3302
548,75234,4311,3588
549,74229,4308,3232
550,77682,4316,3361
551,74188,4334,3315
552,76894,4348,3325
553,78989,4354,3325
554,75474,4361,3210
555,75279,4383,3269
556,78603,4384,3625
557,77823,4381,3215
558,77082,4385,3552
559,74964,4415,3418
560,78637,4442,3213
561,80732,4412,3351
562,77642,4445,3226
563,82357,4449,3657
564,79249,4437,3478
565,77804,4458,3463
566,79722,4486,3561
567,79085,4476,3468
568,81541,4491,3791
569,83345,4485,3801
570,83299,4471,4016
571,82599,4518,3428
572,82319,4518,3749
573,85071,4497,3665
574,80496,4534,3615
575,86098,4581,3468
576,85103,4555,3590
577,82439,4585,3950
578,84266,4574,3641
579,79500,4580,3592
580,83074,4583,3443
581,84909,4600,3452
582,84035,4613,3725
583,87536,4618,3647
584,87673,4648,3756
585,84329,4645,3574
586,86498,4679,3637
587,83928,4655,3926
588,82079,4680,3709
589,86412,4691,3285
590,85024,4721,3744
591,88753,4709,3590
592,89594,4702,3710
593,86220,4719,3754
594,88073,4749,3617
595,86506,4732,3791
596,92297,4738,3826
597,87572,4781,3887
598,87598,4756,3928
599,85469,4789,3620
600,88246,4784,3643
601,90776,4795,3865
602,93072,4790,3593
603,89548,4834,4060
604,90047,4839,3850
605,93525,4838,3827
606,89412,4823,3739
607,90781,4865,3501
608,94336,4860,3776
609,94632,4873,3665
610,96098,4857,3539
