n, Insertion Sort, Merge Sort, Hybrid Sort,n,lgInsertion,lgMerge,lgHybrid
81000,1641359114,1194051,446148,81000,9.215203611,6.077022877,5.64947895
82000,1684221322,1209944,451200,82000,9.226399161,6.08276527,5.654369091
83000,1721749304,1226550,457108,83000,9.235969916,6.088685257,5.660018822
84000,1759302233,1242159,462096,84000,9.245340454,6.09417719,5.664732209
85000,1810117249,1257748,468036,85000,9.257706707,6.099593635,5.670279259
86000,1850726068,1274029,473056,86000,9.267342142,6.105179314,5.674912555
87000,1890689878,1290043,479092,87000,9.276620299,6.110604187,5.680418919
88000,1944330201,1306048,484160,88000,9.288770022,6.115959138,5.684988906
89000,1976051684,1321514,490140,89000,9.295798299,6.121071768,5.690320146
90000,2029991742,1338092,495248,90000,9.307494271,6.126485974,5.69482273
91000,2072036120,1353921,501156,91000,9.316397322,6.131593324,5.699972934
92000,2110977579,1370252,506320,92000,9.324483621,6.136800445,5.704425083
93000,2160864251,1386272,512180,93000,9.334627485,6.141848451,5.709422616
94000,2212731581,1402396,517376,94000,9.344928734,6.146870664,5.713806279
95000,2261044697,1418232,523172,95000,9.354309148,6.15174728,5.718644493
96000,2298939943,1434170,528384,96000,9.361527626,6.156600634,5.722949658
97000,2352006586,1450371,534172,97000,9.371438534,6.161479108,5.72768112
98000,2402721657,1466088,539472,98000,9.380703463,6.166160039,5.731968909
99000,2442013026,1482496,545180,99000,9.387747976,6.17099353,5.736539915
100000,2498329860,1498911,550512,100000,9.397649779,6.175775847,5.74076679
