n, Insertion Sort, Merge Sort, Hybrid Sort
1,0,0,0
2,0,1,1
3,1,3,3
4,3,5,5
5,7,7,10
6,6,10,9
7,7,12,11
8,14,17,18
9,23,20,28
10,26,23,31
11,24,27,30
12,31,27,37
13,20,32,27
14,44,39,51
15,41,43,49
16,61,45,69
17,56,51,65
18,92,56,101
19,64,61,74
20,95,63,105
21,92,68,103
22,92,73,103
23,104,78,116
24,164,82,176
25,148,83,161
26,174,93,187
27,168,98,182
28,149,100,163
29,169,105,184
30,249,113,264
31,264,112,280
32,250,121,266
33,303,126,320
34,290,130,307
35,260,137,278
36,312,142,330
37,306,151,325
38,382,158,401
39,384,159,404
40,366,169,386
41,395,174,416
42,283,178,304
43,408,182,430
44,509,187,531
45,512,193,535
46,525,193,548
47,493,205,517
48,542,216,566
49,639,215,664
50,571,221,596
51,669,229,695
52,663,232,689
53,678,248,705
54,688,249,715
55,715,249,743
56,729,260,757
57,861,265,890
58,812,275,841
59,808,278,838
60,801,281,831
61,789,283,820
62,937,295,968
63,1031,293,1063
64,1086,305,1118
65,1142,309,1175
66,957,323,990
67,1088,324,1122
68,1247,331,1281
69,1278,337,1313
70,1107,340,1142
71,1263,344,1299
72,1176,358,1212
73,1259,359,1296
74,1274,369,1311
75,1294,382,1332
76,1474,383,1512
77,1543,390,1582
78,1373,396,1412
79,1600,397,1640
80,1553,412,1593
81,1568,418,1609
82,1609,415,1650
83,1927,424,1969
84,1758,436,1800
85,1943,445,1986
86,1989,453,2032
87,1821,453,1865
88,2120,455,2164
89,2049,466,2094
90,2306,479,2351
91,1951,477,1997
92,2101,493,2147
93,2096,489,2143
94,2067,489,2114
95,2073,504,2121
96,2442,516,2490
97,2397,532,2446
98,2358,531,2407
99,2474,538,2524
100,2674,538,2724
101,2507,545,838
102,2481,546,806
103,2582,559,819
104,2339,570,841
105,2491,577,759
106,2766,578,863
107,2853,588,992
108,3285,591,1001
109,2642,604,865
110,3283,614,1036
111,3236,616,892
112,2864,617,902
113,2986,630,862
114,3307,640,976
115,3014,644,1026
116,3482,650,996
117,3523,662,1118
118,3146,657,1041
119,3585,677,1101
120,3576,680,1102
121,3575,684,1225
122,3600,697,1171
123,3621,709,1121
124,3382,706,964
125,4041,716,1147
126,3785,714,1154
127,3662,730,1085
128,4192,745,1285
129,3924,751,985
130,4311,758,1297
131,4324,750,1509
132,4285,760,1309
133,4330,787,1296
134,5027,776,1240
135,4085,800,1428
136,4598,790,1439
137,4618,805,1249
138,4453,804,1334
139,4275,821,1471
140,4415,825,1631
141,4844,824,1436
142,5134,845,1413
143,4850,848,1505
144,5074,862,1460
145,5523,867,1290
146,5042,867,1666
147,5543,889,1542
148,5443,885,1636
149,5468,890,1361
150,5841,899,1793
151,5722,906,1616
152,6224,930,1650
153,5854,927,1755
154,6069,925,1846
155,5915,925,1776
156,5801,946,1812
157,6492,959,1919
158,5862,965,1926
159,6579,974,1967
160,6033,976,2026
161,6512,979,1719
162,5930,993,1723
163,6787,992,1971
164,6827,998,1914
165,6317,1012,1915
166,6657,1027,2022
167,6482,1036,2001
168,7339,1039,2015
169,7660,1046,2285
170,7300,1043,1885
171,7060,1073,1971
172,6886,1057,2074
173,7373,1084,2022
174,7449,1079,1914
175,7384,1078,2176
176,7891,1107,2044
177,7090,1096,1960
178,8017,1121,2394
179,7618,1116,2237
180,8136,1115,2173
181,7858,1131,2579
182,8035,1145,2132
183,7912,1152,2151
184,8263,1165,2247
185,8905,1158,2362
186,9055,1173,2400
187,9425,1162,2412
188,7773,1200,2243
189,9316,1192,2415
190,8521,1202,2422
191,8463,1206,2295
192,9314,1205,2544
193,9886,1230,2827
194,9876,1214,2655
195,10390,1237,3011
196,10498,1245,2966
197,9834,1253,2880
198,9598,1276,2449
199,9441,1264,2465
200,10867,1286,2794
201,10695,1284,2652
202,10570,1298,1340
203,10025,1311,1247
204,10895,1321,1123
205,10052,1336,1388
206,11310,1342,1348
207,10142,1328,1227
208,10789,1345,1186
209,10891,1354,1393
210,10758,1352,1319
211,11529,1381,1180
212,10742,1362,1309
213,12145,1381,1229
214,11166,1389,1393
215,10646,1413,1433
216,12153,1411,1369
217,11332,1408,1410
218,11223,1429,1427
219,11244,1442,1330
220,11256,1439,1439
221,13221,1448,1267
222,12760,1454,1339
223,11476,1472,1454
224,13052,1467,1341
225,11309,1479,1449
226,12739,1482,1385
227,12637,1494,1299
228,12623,1507,1346
229,12448,1500,1437
230,13556,1505,1539
231,12652,1520,1442
232,13083,1545,1420
233,13579,1541,1436
234,14013,1547,1535
235,13814,1552,1478
236,14270,1576,1476
237,14604,1588,1785
238,14285,1594,1411
239,13395,1595,1537
240,14385,1604,1831
241,14755,1627,1727
242,15703,1614,1646
243,14293,1618,1642
244,14816,1611,1432
245,14517,1642,1520
246,14802,1640,1730
247,15619,1666,1798
248,15630,1670,1571
249,14335,1662,1605
250,16428,1672,1708
251,15529,1680,1538
252,15560,1700,1733
253,17115,1700,1802
254,16622,1704,1978
255,15791,1716,1735
256,16011,1721,1970
257,16700,1733,1669
258,16880,1731,1643
259,17139,1755,1940
260,16592,1761,1534
261,17185,1783,1848
262,16838,1765,1945
263,17445,1789,1924
264,16663,1798,1945
265,17602,1802,2098
266,18497,1803,1997
267,17492,1811,1529
268,17212,1823,1692
269,18358,1840,1813
270,17759,1837,2146
271,18798,1820,1829
272,18661,1868,1620
273,18442,1867,2092
274,19124,1883,1843
275,18271,1883,2105
276,19150,1904,1863
277,19626,1885,1901
278,19681,1909,1775
279,19359,1926,2118
280,18653,1923,2242
281,18980,1952,2156
